Area,AspectRation,Extent,Solidity,Compactness
40480,1.322731344,0.784739454,0.991913747,0.868757545
39430,1.110238546,0.782807227,0.983659723,0.946330085
39506,1.17481211,0.774172056,0.98834183900000006,0.922263482
52371,1.186806279,0.757846755,0.989644551,0.917140028
38727,1.214468175,0.749144018,0.992898164,0.9060434
42120,1.210164754,0.787260289,0.991548765,0.908635376
45381,1.234766704,0.770318441,0.992411652,0.899620786
39073,1.244281232,0.762072866,0.988214168,0.895220593
45347,1.202777345,0.793945654,0.974073119,0.907114195
44554,1.168283224,0.774852174,0.990022887,0.924239249
36741,1.214544095,0.752642576,0.991606391,0.906425378
39227,1.404271103,0.739852886,0.990705897,0.843281649
33538,1.210566012,0.760516111,0.992248521,0.908252449
33623,1.102941394,0.793238493,0.991302553,0.951853178
47484,1.317335268,0.744450019,0.992392576,0.870650767
42708,1.32945497,0.787476491,0.991894465,0.866920509
40973,1.374489951,0.773075472,0.987063358,0.852263956
41619,1.284526061,0.796383467,0.991518761,0.88161385
43691,1.15683311,0.770945088,0.990119428,0.929419868
39074,1.289026047,0.728611919,0.98314211,0.879168028
46625,1.277963502,0.748346816,0.990314564,0.8833275
46925,1.100113117,0.776454042,0.993058642,0.952905233
37646,1.294401366,0.803577527,0.99222477,0.878416226
35175,1.14729968,0.773552956,0.985100961,0.933113255
40464,1.109177813,0.748557052,0.983998833,0.947095688
38042,1.226495963,0.783886256,0.987898618,0.902274301
38897,1.250656723,0.764079596,0.992903638,0.893906614
44460,1.230718085,0.745998188,0.98960536,0.900079584
37446,1.221242962,0.749729708,0.991841924,0.904401028
34850,1.195491391,0.7725046,0.992340329,0.914135723
47369,1.225026508,0.746344615,0.989327485,0.902412621
38445,1.128114599,0.76966967,0.991796301,0.940740691
53933,1.201499219,0.792293454,0.990141362,0.91181822
46343,1.329983633,0.776733038,0.991591065,0.866330971
36075,1.233503297,0.755813953,0.987760802,0.899867309
39323,1.24203488,0.768687935,0.984946398,0.896578998
35734,1.363856125,0.766495066,0.990272967,0.855023198
38702,1.28591485,0.79300877,0.991901174,0.881217912
33468,1.181652029,0.792329545,0.991703212,0.91966805
36768,1.274648498,0.781732364,0.988971973,0.885488793
37996,1.256346452,0.767813119,0.983664276,0.889749249
39139,1.302540682,0.79408781,0.992594659,0.875729122
38618,1.188324549,0.79148221,0.992418986,0.916804894
38058,1.225014344,0.743146138,0.991997915,0.902995905
38600,1.310001229,0.715265167,0.991268618,0.872356483
45003,1.278285276,0.757626263,0.99228276,0.883874553
51408,1.379652294,0.743610143,0.986206764,0.850415721
43250,1.213809357,0.796911851,0.992769425,0.907092569
35735,1.217423792,0.750230937,0.991454651,0.905797477
39397,1.346265441,0.790184123,0.992817902,0.861607875
41636,1.203961539,0.77626967,0.991333333,0.910636156
46374,1.463027755,0.712678654,0.992020878,0.826145234
40596,1.264053326,0.768397941,0.992082111,0.888807386
45116,1.166336482,0.774191334,0.991909243,0.925307113
37682,1.265889953,0.774409667,0.987551432,0.888341653
36082,1.192642604,0.786083092,0.991018704,0.915376424
41980,1.199709886,0.772941523,0.992974904,0.912700231
37987,1.234610791,0.775878268,0.991646435,0.899607872
40024,1.133647001,0.766655174,0.991036498,0.938916406
38090,1.131785235,0.792386104,0.976516433,0.937537162
36036,1.213938849,0.780658998,0.99311029,0.906974714
47273,1.208979374,0.779362305,0.99246305,0.908332473
37348,1.234694179,0.815013639,0.990269124,0.898276377
41044,1.454214303,0.770866201,0.993200242,0.828384032
41031,1.377199984,0.742992177,0.988508239,0.851357099
36592,1.233609808,0.779083631,0.990230834,0.900071321
39628,1.238987746,0.752554218,0.991294777,0.898083334
43752,1.442851889,0.772212221,0.991838955,0.832077649
38927,1.195091182,0.752154423,0.990912331,0.914237621
32713,1.113340533,0.799516082,0.990702604,0.947407115
39581,1.113766008,0.775322716,0.991557693,0.947163842
39023,1.238284266,0.783594378,0.992623305,0.898108202
42863,1.225515686,0.794274067,0.993509955,0.902836133
39141,1.292382594,0.760758017,0.992418864,0.878894064
33171,1.167534946,0.790237278,0.99228215,0.924667176
37512,1.312288892,0.790991903,0.989997625,0.87229572
37429,1.338105088,0.770841914,0.989844762,0.864179974
41646,1.277121735,0.755482993,0.99048661,0.884473765
38830,1.297696061,0.761193445,0.989929892,0.877138316
45479,1.22054933,0.752527509,0.991130192,0.904332293
37998,1.263389214,0.753495013,0.983105224,0.887786356
43946,1.326676611,0.757768045,0.985513097,0.867013571
37928,1.20165394,0.754185723,0.991944764,0.911259534
31573,1.171793345,0.756964757,0.980619312,0.922654737
40248,1.282099501,0.757894737,0.992063101,0.882763187
35517,1.199574205,0.771622238,0.989855355,0.912691478
44058,1.311122079,0.780312423,0.989667101,0.872878544
36152,1.345240827,0.761575732,0.988245585,0.861855453
35145,1.32692391,0.782809159,0.991564158,0.867793162
35106,1.226969922,0.810387812,0.990435887,0.902099529
38945,1.178370984,0.783917069,0.990992137,0.920628448
44370,1.180911918,0.786437193,0.991907359,0.919701827
41034,1.415302385,0.780499867,0.990513433,0.839823497
34483,1.239426102,0.740677893,0.983795042,0.896444062
38627,1.314463842,0.773328795,0.992216799,0.871343436
32514,1.183349841,0.7849831,0.989982645,0.918805149
33168,1.297552191,0.761240274,0.9888498,0.877028274
44538,1.237588224,0.785211826,0.991959732,0.898003728
