Area,AspectRatio,Extent,Solidity,Compactness,Class
42836,1.35694597,0.722970464,0.991757733,0.85704624,Seker
40962,1.251343156,0.782912844,0.993331232,0.893401209,Seker
35300,1.261691547,0.767224516,0.990460157,0.88995837,Seker
44937,1.320872236,0.774175209,0.992205785,0.868408128,Seker
31530,1.136755746,0.768949371,0.991790129,0.937213391,Seker
35412,1.151864973,0.795918367,0.992127308,0.931298758,Seker
39493,1.209739995,0.799971642,0.990941938,0.90818725,Seker
33333,1.144328878,0.772240756,0.98519241,0.934161662,Seker
39141,1.292382594,0.760758017,0.992418864,0.878894064,Seker
37761,1.162650971,0.781493822,0.990712318,0.926909836,Seker
37844,1.252736331,0.767689062,0.991355373,0.893132492,Seker
34191,1.1517228,0.771980131,0.992625925,0.931536651,Seker
43165,1.341746321,0.755729468,0.992709627,0.862495542,Seker
36105,1.334222178,0.742778966,0.984646013,0.865341907,Seker
50371,1.344203415,0.784998519,0.990151753,0.861560289,Seker
33993,1.114962639,0.778228022,0.991078457,0.946716153,Seker
44351,1.272141625,0.741903647,0.990574677,0.886213858,Seker
45443,1.243362246,0.780727073,0.99064789,0.896083259,Seker
45475,1.260941274,0.771704453,0.991734636,0.889820681,Seker
41323,1.209387797,0.789149034,0.991149381,0.908485667,Seker
39064,1.233667023,0.762283886,0.991497246,0.899821448,Seker
40329,1.225517494,0.790826732,0.992078916,0.901708863,Seker
44258,1.358416836,0.766106976,0.990555058,0.857281407,Seker
39984,1.268473133,0.820891845,0.990855698,0.886802201,Seker
39108,1.314528477,0.787721312,0.992261437,0.871333223,Seker
34419,1.14583779,0.775202703,0.986641823,0.933960539,Seker
43780,1.338270019,0.788999423,0.990363299,0.863973187,Seker
43567,1.243039091,0.77115194,0.991150241,0.895911254,Seker
40566,1.397415785,0.788362873,0.990743681,0.845211106,Seker
32514,1.183349841,0.7849831,0.989982645,0.918805149,Seker
41638,1.236860483,0.796518412,0.992609898,0.898439983,Seker
44542,1.434564511,0.797729064,0.98793417,0.834055698,Seker
40636,1.202762953,0.756525301,0.98175932,0.909575702,Seker
40429,1.15486484,0.790864632,0.990518424,0.930056469,Seker
40415,1.298805876,0.770837307,0.991292617,0.876955402,Seker
34980,1.217755417,0.785290948,0.991609026,0.905717705,Seker
41433,1.289545811,0.747834091,0.985209844,0.879425474,Seker
45479,1.22054933,0.752527509,0.991130192,0.904332293,Seker
42506,1.240484945,0.799947305,0.990446454,0.896767258,Seker
33006,1.187442927,0.757018349,0.986490525,0.917107114,Seker
38940,1.175703671,0.769185185,0.99020979,0.921717257,Seker
49888,1.290290505,0.764391328,0.993309971,0.87971857,Seker
52829,1.3193751440000001,0.746805202,0.989158928,0.869599686,Seker
40504,1.292915364,0.756207759,0.992404567,0.878727417,Seker
37362,1.151745556,0.7615728,0.985440734,0.930517655,Seker
41323,1.303424565,0.739363035,0.98219718600000006,0.875525854,Seker
31994,1.102632806,0.789741311,0.987743509,0.951267141,Seker
38581,1.112698693,0.779792222,0.99057718,0.947032989,Seker
33089,1.119093377,0.774410223,0.988734835,0.944420849,Seker
38285,1.254840358,0.742331407,0.991608174,0.891650343,Seker
35615,1.193515219,0.74334196,0.989195645,0.913921554,Seker
33062,1.169973519,0.77866227,0.988725739,0.924038522,Seker
38971,1.255313227,0.754915445,0.991250159,0.891444841,Seker
46568,1.274664581,0.769973545,0.991990457,0.88431306,Seker
34968,1.272371851,0.755509463,0.992901357,0.886166314,Seker
42642,1.233254552,0.780845999,0.990476633,0.900123038,Seker
39364,1.239599004,0.78476874,0.99173637,0.897716565,Seker
35684,1.241782084,0.768587921,0.99251801,0.896760232,Seker
34772,1.173467221,0.763179843,0.990570607,0.922665425,Seker
45906,1.269487204,0.788722231,0.991083573,0.886521747,Seker
42173,1.147351895,0.744159373,0.986826095,0.931721242,Seker
36736,1.315219041,0.750786838,0.992248062,0.871413769,Seker
35781,1.265089469,0.775706202,0.990943835,0.888683792,Seker
46151,1.281450779,0.730468503,0.987208283,0.882258812,Seker
42033,1.290413215,0.758170996,0.990993752,0.87961715,Seker
33159,1.170878708,0.788111423,0.99233877,0.923708669,Seker
40705,1.194180261,0.764413146,0.989258026,0.913780814,Seker
33431,1.135413444,0.788708802,0.989434119,0.938188022,Seker
38171,1.124526426,0.793180118,0.989655172,0.94233798,Seker
45339,1.195565247,0.759142053,0.992317794,0.9141461,Seker
35835,1.236903883,0.790885014,0.99019066,0.898611445,Seker
